Name,Money,Route,Location on Route,Pokemon,Level,Attack 1,Attack 2,Attack 3,Attack 4,EXP,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed
,,,,Numel,22,Growl,Tackle,Ember,Magnitude,414,59,32,25,34,26,18
Picknicker Diana,304,Jagged Pass,Left,Shroomish,19,Tackle,Stun Spore,Leech Seed,Mega Drain,264,51,20,27,20,27,18
,,,,Oddish,19,Sweet Scent,Poisonpowder,Stun Spore,Sleep Powder,317,46,24,22,36,29,16
,,,,Swablu,19,Growl,Astonish,Sing,Fury Attack,301,46,20,29,20,29,24
Picknicker Autumn [2],336,Jagged Pass,Center,Shroomish,21,Tackle,Stun Spore,Leech Seed,Mega Drain,292,56,21,30,23,27,19
Triathlete Julio [2],840,Jagged Pass,Center,Magnemite,21,Thundershock,Supersonic,Sonicboom,Thunder Wave,400,41,19,37,44,25,23
Camper Ethan,320,Jagged Pass,Center,Zigzagoon,20,Tail Whip,Headbutt,Sand-Attack,Odor Sleuth,257,45,17,21,17,21,29
,,,,Taillow,20,Focus Energy,Quick Attack,Wing Attack,Double Team,252,46,27,17,17,17,39
Kindler Jeff,,Lavaridge Gym,,Slugma,22,Smog,Ember,Rock Throw,Harden,367,52,25,22,38,27,16
,,,,Slugma,22,Smog,Ember,Rock Throw,Harden,367,52,25,25,38,25,16
Kindler Jace,,Lavaridge Gym,,Slugma,23,Smog,Ember,Rock Throw,Harden,384,54,26,26,35,28,16
Hiker Eli,,Lavaridge Gym,,Numel,23,Growl,Tackle,Ember,Magnitude,433,63,31,26,37,28,25
Kindler Cole,,Lavaridge Gym,,Numel,23,Growl,Tackle,Ember,Magnitude,433,63,31,28,37,28,23
Cooltrainer Gerald,,Lavaridge Gym,,Kecleon,23,Flamethrower,Fury Swiped,Faint Attack,Bind,650,63,49,35,38,62,26
Kindler Axle,,Lavaridge Gym,,Numel,23,Growl,Tackle,Ember,Magnitude,433,63,35,26,37,30,20
Kindler Keegan,,Lavaridge Gym,,Slugma,23,Smog,Ember,Rock Throw,Harden,384,54,26,26,40,26,17
Battle Girl Danielle,552,Lavaridge Gym,,Meditite,23,Bide,Detect,Confusion,Fire Punch,448,49,26,36,23,33,35
Leader Flannery,2900,Lavaridge Gym,,Numel,24,Magnitude,Take Down,Overheat,Sunny Day,452,68,39,29,36,32,29
,,,,Slugma,24,Smog,Overheat,Light Screen,Sunny Day,401,58,26,29,44,31,20
,,,,Camerupt,26,Overheat,Tackle,Attract,Sunny Day,975,80,70,49,60,51,33
,,,Heat Badge,Torkoal,29,Body Slam,Overheat,Attract,Sunny Day,1000,88,56,94,69,54,25
Picknicker Carol,272,Route 112,South,Taillow,17,Growl,Focus Energy,Quick Attack,Wing Attack,214,40,23,16,13,15,33
,,,,Lombre,17,Astonish,Growl,Absorb,Nature Power,513,47,22,22,25,29,22
Camper Larry,288,Route 112,South,Nuzleaf,18,Pound,Harden,Growth,Nature Power,543,53,30,20,26,19,23
Camper Beau,336,Route 111 Desert,,Baltoy,21,Rapid Spin,Mud-Slap,Psybeam,Rock Tomb,261,47,18,28,21,37,28
,,,,Sandshrew,21,Poison Sting,Sand-Attack,Scratch,Dig,418,52,36,40,13,17,21
,,,,Baltoy,21,Rapid Spin,Mud-Slap,Psybeam,Rock Tomb,261,47,23,28,21,34,25
Picknicker Heidi,352,Route 111 Desert,,Sandshrew,22,Dig,Sand-Attack,Poison Sting,Slash,438,54,34,42,13,19,22
,,,,Baltoy,22,Rapid Spin,Mud-Slap,Psybeam,Rock Tomb,273,49,22,29,22,35,29
Camper Drew,368,Route 111 Desert,,Sandshrew,23,Dig,Sand-Attack,Poison Sting,Slash,458,56,35,44,14,18,25
Picknicker Becky,352,Route 111 Desert,,Sandshrew,22,Sand-Attack,Poison Sting,Slash,Dig,438,54,38,37,13,18,24
,,,,Marill,22,Rollout,BubbleBeam,Tail Whip,Defense Curl,273,62,14,27,11,27,22
Ruin Maniac Bryan [2],1320,Route 111 Desert,,Sandshrew,22,Scratch,Defense Curl,Sand-Attack,Poison Sting,438,54,38,37,13,18,24
[2],,,,Sandslash,22,Scratch,Defense Curl,Sand-Attack,Poison Sting,768,65,53,58,24,29,29
Camper Branden [2],352,Route 111 Desert,,Taillow,22,Focus Energy,Quick Attack,Wing Attack,Double Team,278,49,26,18,18,18,46
[2],,,,Nuzleaf,22,Harden,Growth,Nature Power,Fake Out,664,62,35,22,34,22,27
Picknicker Celia,352,Route 111 Desert,,Marill,22,Tail Whip,Water Gun,Rollout,BubbleBeam,273,62,13,24,14,27,22
,,,,Lombre,22,Growl,Absorb,Nature Power,Fake Out,664,58,27,27,31,35,27
Ruin Maniac Dusty,1380,Route 111 Desert,,Sandslash,23,Dig,Slash,Sand-Attack,Poison Sting,803,68,57,50,27,31,36
Picknicker Irene,272,Route 111,South,Shroomish,17,Tackle,Stun Spore,Leech Seed,Mega Drain,236,47,18,25,19,22,16
,,,,Marill,17,Defense Curl,Tail Whip,Water Gun,Rollout,211,50,11,19,12,22,18
Psychic Jaclyn,384,Route 110,Cycling Road,Abra,16,Hidden Power,,,,250,34,12,9,38,22,29
Triathlete Abigail,640,Route 110,Cycling Road,Magnemite,16,Tackle,Thundershock,Supersonic,Sonicboom,305,34,16,27,38,19,19
Triathlete Anthony,560,Route 110,Cycling Road,Magnemite,14,Metal Sound,Tackle,Thundershock,Supersonic,267,31,14,21,31,22,17
,,,,Magnemite,14,Metal Sound,Tackle,Thundershock,Supersonic,267,31,14,24,31,20,17
Traithlete Benjamin,640,Route 110,Cycling Road,Magnemite,16,Tackle,Thundershock,Supersonic,Sonicboom,305,34,16,27,31,22,20
Triathlete Jasmine,240,Route 110,Cycling Road,Magnemite,14,Metal Sound,Tackle,Thundershock,Supersonic,267,32,16,25,32,21,18
,,,,Magnemite,14,Metal Sound,Tackle,Thundershock,Supersonic,267,32,17,25,28,21,18
,,,,Voltorb,6,Charge,Tackle,,,132,20,8,11,11,11,15
Triathlete Jacob,560,Route 110,Cycling Road,Voltorb,6,Charge,Tackle,,,132,20,8,11,9,11,18
,,,,Voltorb,6,Charge,Tackle,,,132,20,7,11,12,11,17
,,,,Magnemite,14,Metal Sound,Tackle,Thundershock,Supersonic,267,34,18,27,34,25,18
Battle Girl Laura,312,Dewford Gym,Bottom,Meditite,13,Bide,Meditate,Confusion,Detect,253,33,17,21,17,21,22
Battle Girl Lilith [2],312,Dewford Gym,Far Right,Meditite,13,Bide,Meditate,Confusion,Detect,252,33,17,21,17,21,22
Sailor Brenden [2],416,Dewford Gym,Far Right,Machop,13,Low Kick,Leer,Focus Energy,Karate Chop,244,42,29,19,15,15,13
Black Belt Takao,416,Dewford Gym,Far Left,Machop,13,Low Kick,Leer,Focus Energy,Karate Chop,245,43,27,17,16,16,17
Black Belt Cristian,416,Dewford Gym,,Makuhita,13,Focus Energy,Sand-Attack,Arm Thrust,Vital Throw,242,44,25,15,13,13,14
Battle Girl Jocelyn,312,Dewford Gym,,Meditite,13,Bide,Meditate,Confusion,Detect,253,32,17,21,17,21,22
Leader Brawly,1900,Dewford Gym,,Machop,16,Karate Chop,Low Kick,Seismic Toss,Bulk Up,301,50,32,22,18,18,18
,,,,Meditite,16,Focus Punch,Light Screen,Reflect,Bulk Up,312,37,17,24,19,26,26
,,,Knuckle Badge,Makuhita,19,Arm Thrust,Vital Throw,Reversal,Bulk Up,354,60,32,22,17,18,19
Cooltrainer Mary,1248,Petalburg Gym,Bottom Right,Delcatty,26,Faint Attack,Shock Wave,,,768,80,46,46,45,36,49
Cooltrainer George,1248,Petalburg Gym,Center Right,Slakoth,26,Shadow Ball,Counter,Slack Off,,462,75,48,44,31,31,25
Cooltrainer Randall,1248,Petalburg Gym,Bottom Left,Swellow,26,Quick Attack,Agility,Wing Attack,,902,75,57,39,39,39,85
Cooltrainer Parker,1248,Petalburg Gym,Center Left,Spinda,26,Teeter Dance,Dizzy Punch,Focus Punch,,473,75,39,44,44,48,44
Cooltrainer Jody,1248,Petalburg Gym,Top Left,Zangoose,26,Swords Dance,Slash,,,919,82,72,44,39,48,59
Cooltrainer Alexia,1248,Petalburg Gym,Center Center,Wigglytuff,26,Defense Curl,Double-Edge,Shadow Ball,,607,116,53,36,52,35,36
Cooltrainer Berke,1248,Petalburg Gym,Top Right,Vigoroth,26,Slash,Focus Energy,,,702,85,54,54,41,41,59
Leader Norman,3100,Petalburg Gym,,Spinda,27,Facade,Psybeam,Teeter Dance,Encore,491,75,43,43,43,43,43
,,,,Vigoroth,27,Slash,Facade,Faint Attack,Encore,729,86,54,54,41,36,66
,,,,Linoone,29,Slash,Facade,Headbutt,Belly Drum,795,91,57,42,40,47,69
,,,Balance Badge,Slaking,31,Facade,Faint Attack,Counter,Yawn,1395,143,113,76,73,59,68
Swimmer Imani,208,Route 105,Right,Marill,26,Tail Whip,Water Gun,Rollout,Bubblebeam,323,72,15,31,15,31,25
Swimmer Domimik,208,Route 105,Left,Tentacool,26,Supersonic,Constrict,Acid,Bubblebeam,585,56,25,23,31,62,36
Ruin Maniac Foster,1500,Route 105,Island,Sandshrew,25,Dig,Slash,Sand-Attack,Poison Sting,498,63,40,50,19,23,28
,,,,Sandslash,25,Dig,Slash,Sand-Attack,Poison Sting,873,75,52,63,30,35,44
Swimmer Beverly,200,Route 105,Left,Wingull,25,Water Gun,Supersonic,Wing Attack,Mist,342,55,20,18,35,20,47
,,,,Wailmer,25,Water Gun,Rollout,Whirlpool,Astonish,733,100,36,22,40,22,38
Ruin Maniac Andres [2],1500,Route 105,Island,Sandshrew,25,Defense Curl,Sand-Attack,Poison Sting,Slash,498,61,44,53,14,21,26
[2],,,,Sandshrew,25,Defense Curl,Sand-Attack,Poison Sting,Slash,498,61,39,53,16,21,26
Bird Keeper Josue [2],800,Route 105,Island,Taillow,25,Focus Energy,Quick Attack,Wing Attack,Double Team,316,56,34,21,21,21,49
[2],,,,Wingull,25,Water Gun,Supersonic,Wing Attack,Mist,342,56,21,21,34,21,49
Swimmer Luis,208,Route 105,Left,Carvanha,26,Rage,Focus Energy,Scary Face,Crunch,490,59,56,15,38,15,34
Swimmer Douglas,192,Route 106,,Tentacool,24,Poison Sting,Supersonic,Constrict,Acid,540,53,24,19,29,58,38
,,,,Tentacool,24,Poison Sting,Supersonic,Constrict,Acid,540,53,24,22,29,53,38
Swimmer Kyla,208,Route 106,,Wailmer,26,Water Gun,Rollout,Whirlpool,Astonish,763,103,45,20,41,23,36
Swimmer Denise,200,Route 107,,Wingull,25,Water Gun,Supersonic,Wing Attack,Mist,342,55,22,20,32,20,42
,,,,Goldeen,25,Water Sport,Supersonic,Horn Attack,Flail,594,57,38,35,22,30,36
Swimmer Tony,208,Route 107,,Carvanha,26,Rage,Focus Energy,Scary Face,Crunch,490,59,45,16,38,15,38
Sis & Bro Lisa & Ray [2],600,Route 107,,Goldeen,27,Water Sport,Supersonic,Horn Attack,Flail,642,61,45,37,23,28,39
[2],,,,Tentacool,25,Supersonic,Constrict,Acid,Bubblebeam,562,55,22,22,30,60,40
Swimmer Darrin,192,Route 107,,Tentacool,24,Poison Sting,Supersonic,Constrict,Acid,540,53,21,22,31,53,38
,,,,Wingull,24,Water Gun,Supersonic,Wing Attack,Mist,329,53,17,19,31,20,46
,,,,Tentacool,24,Poison Sting,Supersonic,Constrict,Acid,540,53,24,22,29,53,38
Swimmer Beth [2],208,Route 107,,Goldeen,26,Water Sport,Supersonic,Horn Attack,Flail,618,59,42,36,20,31,37
Triathlete Camron [2],1040,Route 107,,Staryu,26,Rapid Spin,Recover,Camouflage,Swift,590,51,28,29,41,33,53
Swimmer Missy,208,Route 108,,Goldeen,26,Water Sport,Supersonic,Horn Attack,Flail,618,59,39,36,25,27,37
Swimmer Matthew,208,Route 108,,Carvanha,26,Rage,Focus Energy,Scary Face,Crunch,490,59,51,15,38,15,38
Beauty Thalia [2],2000,Abandonded Ship,First Cabins,Wailmer,25,Water Gun,Rollout,Whirlpool,Astonish,732,100,36,22,40,24,35
[2],,,,Horsea,25,Bubble,Smokescreen,Leer,Water Gun,444,50,25,40,40,15,38
Youngster Demetrius [2],400,Abandonded Ship,First Cabins,Zigzagoon,25,Sand-Attack,Odor Sleuth,Mud Sport,Pin Missile,320,54,22,25,18,25,35
[2],,,,Electrike,25,Howl,Quick Attack,Spark,Odor Sleuth,556,55,29,25,33,25,37
Sailor Duncan,800,Abandonded Ship,2F Center,Spheal,25,Encore,Ice Ball,Body Slam,Aurora Beam,401,70,25,27,32,30,18
,,,,Machoke,25,Karate Chop,Seismic Toss,Foresight,Revenge,782,75,55,40,30,38,24
Tuber Charlie,104,Abandonded Ship,1F Left,Marill,26,Tail Whip,Water Gun,Rollout,Bubblebeam,323,72,13,31,15,34,25
Ruin Maniac Garrison [2],1560,Abandonded Ship,Top of 1F Cabins,Sandslash,26,Defense Curl,Sand-Attack,Poison Sting,Slash,908,75,57,55,28,36,38
Tuber Jani [2],104,Abandonded Ship,,Marill,26,Tail Whip,Water Gun,Rollout,Bubblebeam,322,72,15,31,15,31,25
Youg Couple Kira & Dan [2],1600,Abandonded Ship,,Volbeat,25,Moonlight,Quick Attack,Tail Glow,Signal Beam,782,67,41,35,28,42,42
[2],,,,Illumise,25,Moonlight,Quick Attack,Wish,Encore,782,67,25,32,45,42,47
Swimmer Tara,200,Route 108,,Horsea,25,Bubble,Smokescreen,Leer,Water Gun,444,50,25,36,44,17,35
,,,,Marill,25,Tail Whip,Water Gun,Rollout,Bubblebeam,310,70,15,30,15,30,25
Cooltrainer Carolina [2],1152,Route 108,,Manectric,24,Leer,Howl,Quick Attack,Spark,864,69,42,31,56,38,56
[2],,,,Swellow,24,Focus Energy,Quick Attack,Wing Attack,Double Team,832,64,51,35,27,30,66
[2],,,,Manectric,24,Leer,Howl,Quick Attack,Spark,864,69,46,35,56,31,56
Sailor Cory [2],768,Route 108,,Wingull,24,Water Gun,Supersonic,Wing Attack,Mist,328,53,19,17,34,19,45
[2],,,,Machop,24,Focus Energy,Karate Chop,Seismic Toss,Foresight,452,67,47,29,18,21,21
[2],,,,Tentacool,24,Poison Sting,Supersonic,Constrict,Acid,540,53,24,23,29,53,34
Swimmer Jerome,208,Route 108,,Tentacruel,26,Supersonic,Constrict,Acid,Bubblebeam,1142,77,45,38,46,67,51
Fisherman Carter [2],1000,Route 109 Surf,,Wailmer,25,Water Gun,Rollout,Whirlpool,Astonish,732,100,36,22,40,24,35
[2],,,,Tentacruel,25,Supersonic,Constrict,Acid,Bubblebeam,1098,75,36,40,45,65,55
Bird Keeper Elijah [2],800,Route 109 Surf,,Skarmory,25,Peck,Sand-Attack,Swift,Agility,900,67,45,75,25,40,40
[2],,,,Skarmory,25,Peck,Sand-Attack,Swift,Agility,900,67,45,75,25,36,44
Tuber Austina,104,Route 109 Surf,,Marill,26,Tail Whip,Water Gun,Rollout,Bubblebeam,323,72,16,31,13,31,25
Tuber Gwen,104,Route 109 Surf,,Marill,26,Tail Whip,Water Gun,Rollout,Bubblebeam,323,72,15,31,15,27,27
Swimmer Alice,192,Route 109 Surf,,Goldeen,24,Water Sport,Supersonic,Horn Attack,Flail,570,55,37,33,21,26,38
,,,,Wingull,24,Water Gun,Supersonic,Wing Attack,Mist,329,53,19,19,31,19,45
,,,,Goldeen,24,Water Sport,Supersonic,Horn Attack,Flail,570,55,37,33,21,29,35
Swimmer David,200,Route 109 Surf,,Tentacool,25,Supersonic,Constrict,Acid,Bubblebeam,562,55,22,24,30,55,40
,,,,Carvanha,25,Rage,Focus Energy,Scary Face,Crunch,471,57,50,13,37,15,40
Young Couple Mel & Paul [2],1728,Route 109 Surf,,Dustox,27,Gust,Psybeam,Toxic,Protect,924,69,35,42,32,47,40
[2],,,,Beautifly,27,Gust,Mega Drain,Attract,Stun Spore,930,69,42,28,58,32,40
Swimmer Isabelle [2],120,Route 103 Surfing,Center,Marill,15,Defense Curl,Tail Whip,Water Gun,Rollout,186,46,11,20,11,20,17
Swimmer Pete [2],120,Route 103 Surfing,,Tentacool,15,Poison Sting,Supersonic,Constrict,,336,37,17,15,20,35,26
Fisherman Barny,1000,Route 118,East,Tentacool,25,Supersonic,Constrict,Acid,Bubblebeam,562,55,25,22,30,55,40
,,,,Carvanha,25,Rage,Focus Energy,Scary Face,Crunch,471,57,55,13,37,15,37
Bird Keeper Chester,800,Route 118,East,Taillow,25,Focus Energy,Quick Attack,Wing Attack,Double Team,316,55,28,22,20,20,47
,,,,Swellow,25,Focus Energy,Quick Attack,Wing Attack,Double Team,867,65,51,31,30,30,67
Bird Keeper Perry,832,Route 118,East,Wingull,26,Water Gun,Supersonic,Wing Attack,Mist,356,56,20,22,29,20,49
Bug Catcher Kent,400,Route 119,,Ninjask,25,Double Team,Fury Cutter,Screech,Swords Dance,830,65,45,29,30,30,85
Bug Maniac Donald,1440,Route 119,,Wurmple,24,Tackle,String Shot,Poison Sting,,277,58,29,24,18,22,15
,,,,Silcoon,24,Harden,,,,365,60,24,34,19,20,13
,,,,Beautifly,24,Gust,Stun Spore,Morning Sun,Mega Drain,828,65,41,31,51,31,39
Bug Catcher Greg,400,Route 119,,Volbeat,25,Moonlight,Quick Attack,Tail Glow,Signal Beam,782,67,41,28,28,46,47
,,,,Illumise,25,Moonlight,Quick Attack,Wish,Encore,782,67,25,32,41,42,51
Bug Maniac Taylor,1620,Route 119,,Wurmple,27,Tackle,String Shot,Poison Sting,,312,64,32,27,17,24,20
,,,,Cascoon,27,Harden,,,,416,67,27,37,21,21,16
,,,,Dustox,27,Protect,Moonlight,Psybeam,Whirlwind,925,72,35,46,35,56,43
Bug Catcher Doug,448,Route 119,,Nincada,28,Sand-Attack,Fury Swipes,Mind Reader,False Swipe,390,55,27,55,21,23,27
,,,,Ninjask,28,Double Team,Fury Cutter,Screech,Swords Dance,930,72,55,27,33,36,94
Bug Maniac Brent,1560,Route 119,,Surskit,26,Quick Attack,Sweet Scent,Water Sport,Bubblebeam,351,59,23,26,34,31,41
Fisherman Chris,920,Route 119,Requires Surf,Magikarp,29,Splash,Tackle,,,124,50,10,36,14,16,45
,,,,Tentacool,20,Poison Sting,Supersonic,Constrict,Acid,450,46,21,19,22,45,36
,,,,Feebas,26,Splash,Tackle,,,339,46,12,16,10,29,46
,,,,Carvanha,23,Rage,Focus Energy,Scary Face,Crunch,433,53,46,14,37,14,30
Pokemon  Ranger Catherine,1248,Route 119,,Gloom,26,Poisonpowder,Stun Spore,Sleep Powder,Acid,735,68,40,42,50,40,29
,,,,Roselia,26,Stun Spore,Mega Drain,Leech Seed,Magical Leaf,846,63,37,29,63,48,36
Pokemon  Ranger Jackson,1296,Route 119,,Breloom,27,Leech Seed,Mega Drain,Headbutt,Mach Punch,954,71,83,49,35,39,44
Parasol Lady Rachel [2],1040,Route 119,,Goldeen,26,Water Sport,Supersonic,Horn Attack,Flail,618,59,39,39,23,31,33
Bird Keeper Phil [2],832,Route 119,,Swellow,26,Focus Energy,Quick Attack,Wing Attack,Double Team,902,67,49,32,31,31,77
Ninja Boy Takashi [2],300,Route 119,,Ninjask,25,Double Team,Fury Cutter,Screech,Swords Dance,830,65,50,27,33,30,76
[2],,,,Koffing,25,Smog,Selfdestruct,Sludge,Smokescreen,610,55,37,52,31,27,24
Kindler Dayton [2],800,Route 119,,Slugma,25,Smog,Ember,Rock Throw,Harden,416,55,22,25,44,25,15
[2],,,,Numel,25,Tackle,Ember,Magnitude,Focus Energy,470,65,31,27,37,27,22
Bird Keeper Hugh,800,Route 119,,Wingull,25,Water Gun,Supersonic,Wing Attack,Mist,342,55,20,20,32,18,51
,,,,Tropius,25,Growht,Razor Leaf,Stomp,Sweet Scent,905,84,39,46,41,48,30
Team Aqua Grunt,560,Weather Institute,1F,Carvanha,28,Crunch,Screech,Focus Energy,Scary Face,528,63,55,14,45,16,41
Team Aqua Grunt,540,Weather Institute,1F,Zubat,27,Astonish,Bite,Wing Attack,Confuse Ray,312,58,29,20,21,28,34
,,,,Poochyena,27,Bite,Odor Sleuth,Roar,Swagger,318,55,34,23,21,21,23
Team Aqua Grunt [2],540,Weather Institute,2F,Poochyena,27,Wing Attack,Bite,Astonish,Confuse Ray,318,58,26,25,21,26,34
[2],,,,Carvanha,27,Bite,Swagger,Roar,Odor Sleuth,508,55,34,20,21,23,23
Team Aqua Grunt [2],540,Weather Institute,2F,Zubat,27,Bite,Swagger,Roar,Odor Sleuth,312,55,37,23,21,21,20
[2],,,,Poochyena,27,Crunch,Rage,Focus Energy,Scary Face,318,61,53,15,36,16,40
Team Aqua Grunt,520,Weather Institute,2F,Poochyena,26,Bite,Odor Sleuth,Roar,Swagger,306,54,36,23,20,20,20
,,,,Zubat,26,Astonish,Bite,Wing Attack,Confuse Ray,300,56,28,23,20,25,33
,,,,Carvanha,26,Rage,Focus Energy,Scary Face,Crunch,490,59,51,16,34,15,38
Aqua Admin Shelly,1120,Weather Institute,2F,Carvanha,28,Crunch,Screech,Focus Energy,Scary Face,528,64,57,17,38,17,47
,,,,Mightyena,28,Bite,Swagger,Roar,Odor Sleuth,768,78,62,40,40,40,45
Fortree Rival,1860,Route 119,,Slugma,29,Rock Throw,Ember,Harden,Amnesia,484,65,27,34,49,31,20
,,,,Grovyle,31,Leaf Blade,Fury Cutter,Pursuit,Screech,936,77,50,34,63,55,69
,,,,Pelipper,29,Wing Attack,Protect,Supersonic,Mist,1019,77,37,66,57,49,46
Guitarist Fabian [2],832,Route 119,,Manectric,26,Howl,Quick Attack,Spark,Odor Sleuth,936,72,39,36,64,36,59
Ninja Boy Yasu [2],312,Route 119,,Ninjask,26,Double Team,Fury Cutter,Screech,Swords Dance,862,67,56,25,31,31,88
Ninja Boy Hideo,300,Route 119,,Koffing,25,Tackle,Selfdestruct,Sludge,Smokescreen,610,55,37,57,35,27,19
,,,,Koffing,25,Tackle,Poison Gas,Sludge,Smokescreen,610,55,40,52,31,27,22
Parasol Lady Clarissa,1120,Route 120,,Roselia,28,Stun Spore,Mega Drain,Leech Seed,Magical Leaf,912,66,41,27,61,49,41
,,,,Wailmer,28,Rollout,Whirlpool,Astonish,Water Pulse,822,110,44,24,48,21,38
Bird Keeper Robert,928,Route 120,,Swablu,29,Sing,Fury Attack,Safeguard,Mist,459,65,28,39,28,43,37
Bird Keeper Humberto,960,Fortree Gym,,Skarmory,30,Swift,Agility,Fury Attack,Air Cutter,1080,88,62,98,38,56,56
Bird Keeper Jared [2],864,Fortree Gym,,Doduo,27,Pursuit,Fury Attack,Tri Attack,Rage,554,59,59,32,24,27,48
[2],,,,Skarmory,27,Sand-Attack,Swift,Agility,Fury Attack,972,75,51,91,29,41,46
[2],,,,Tropius,27,Razor Leaf,Stomp,Sweet Scent,Whirlwind,976,93,44,53,47,55,35
Picknicker Ashley [2],432,Fortree Gym,,Swablu,27,Astonish,Sing,Fury Attack,Safeguard,428,64,29,40,29,48,35
[2],,,,Swablu,27,Astonish,Sing,Fury Attack,Safeguard,428,64,26,44,29,48,35
[2],,,,Swablu,27,Astonish,Sing,Fury Attack,Safeguard,428,64,26,40,29,48,38
Camper Flint [2],464,Fortree Gym,,Swellow,29,Wing Attack,Endeavor,Quick Attack,Double Team,1006,79,59,45,35,42,82
[2],,,,Xatu,29,Night Shade,Peck,Leer,Teleport,1062,81,58,50,65,45,65
Bird Keeper Edwardo [2],928,Fortree Gym,,Doduo,29,Tri Attack,Fury Attack,Rage,Pursuit,596,64,64,36,30,30,47
[2],,,,Pelipper,29,Wing Attack,Supersonic,Protect,Mist,1018,79,39,68,64,45,47
Bird Keeper Darius,960,Fortree Gym,,Tropius,30,Razor Leaf,Stomp,Sweet Scent,Whirlwind,1086,106,53,68,55,57,42
Leader Winona,3300,Fortree Gym,,Swablu,29,Aerial Ace,Perish Song,Mirror Move,Safeguard,459,72,35,42,35,55,45
,,,,Tropius,29,Solarbeam,Aerial Ace,Sunny Day,Synthesis,1050,103,51,66,48,62,41
,,,,Pelipper,30,Aerial Ace,Water Gun,Supersonic,Protect,1054,83,37,72,63,59,51
,,,,Skarmory,31,Aerial Ace,Steel Wing,Fury Attack,Sand-Attack,1116,89,55,99,37,61,56
,,,Feather Badge,Altaria,33,Earthquake,Aerial Ace,Dragonbreath,Dragon Dance,1329,102,61,74,61,84,68
Bird Keeper Colin,896,Route 120,,Wingull,28,Water Gun,Supersonic,Wing Attack,Mist,384,60,21,23,35,18,52
,,,,Natu,28,Peck,Leer,Night Shade,Teleport,438,60,33,33,44,30,39
Cooltrainer Leonel [2],1440,Route 120,,Manectric,30,Thunder,Quick Attack,Thunder Wave,,1080,85,47,44,71,48,71
Parasol Lady Angelica [2],1200,Route 120,,Castform,30,Rain Dance,Weather Ball,Thunder,Water Pulse,932,83,48,52,43,48,48
Ninja Boy Riley [2],336,Route 120,,Nincada,28,Leech Life,Fury Swipes,Mind Reader,Dig,390,55,30,55,21,21,27
[2],,,,Koffing,28,Tackle,Selfdestruct,Sludge,Smokescreen,684,60,41,63,38,30,21
Battle Girl Callie [2],972,Route 120,,Meditite,28,Detect,Hidden Power,Mind Reader,Calm Mind,546,54,27,35,27,35,38
[2],,,,Makuhita,28,Vital Throw,Fake Out,Whirlwind,Knock Off,522,78,38,18,16,21,20
Cooltrainer Jennifer,1440,Route 120,,Sableye,30,Fury Attack,Fake Out,Detect,Faint Attack,630,77,51,57,51,51,46
Pokemon  Ranger Jenna,1344,Route 120,,Lotad,28,Growl,Absorb,Nature Power,Mist,444,62,23,23,29,34,23
,,,,Lombre,28,Absorb,Nature Power,Fake Out,Fury Swipes,846,73,34,30,40,45,37
,,,,Nuzleaf,28,Growth,Nature Power,Fake Out,Torment,846,78,49,29,40,29,36
Pokemon  Ranger Lorenzo,1344,Route 120,,Seedot,28,Harden,Growth,Nature Power,Synthesis,444,62,29,37,23,23,20
,,,,Nuzleaf,28,Growth,Nature Power,Fake Out,Torment,846,78,45,26,40,31,40
,,,,Lombre,28,Absorb,Nature Power,Fake Out,Fury Swipes,846,73,34,34,40,45,34
Bug Maniac Jeffrey,1620,Route 120,,Surskit,27,Quick Attack,Sweet Scent,Water Sport,BubbleBeam,364,58,21,22,32,33,40
,,,,Surskit,27,Quick Attack,Sweet Scent,Water Sport,BubbleBeam,364,58,21,22,28,33,44
,,,,Surskit,27,Quick Attack,Sweet Scent,Water Sport,BubbleBeam,364,58,21,22,32,29,44
Ninja Boy Keigo,336,Route 120,,Koffing,28,Poison Gas,Selfdestruct,Sudge,Smokescreen,684,60,41,58,38,30,24
,,,,Ninjask,28,Sand-Attack,Double Team,Fury Cutter,Swords Dance,930,72,49,30,33,33,103
Ruin Maniac Chip,1620,Route 120,,Baltoy,27,Psybeam,Selfdestruct,Sandstorm,AncientPower,335,60,28,36,28,44,36
,,,,Sandshrew,27,Dig,Slash,Sand-Attack,Poison Sting,538,65,51,52,17,22,25
,,,,Sandslash,27,Dig,Slash,Sand-Attack,Poison Sting,943,79,60,72,27,36,72
Bug Maniac Cale [2],1740,Route 121,,Dustox,29,Protect,Moonlight,Psybeam,Whirlwind,994,73,30,45,37,57,42
[2],,,,Beautifly,29,Stun Spore,Morning Sun,Mega Drain,Whirlwind,1000,73,40,37,57,34,42
Hex Maniac Tammy [2],696,Route 121,,Duskull,29,Foresight,Astonish,Confuse Ray,Pursuit,602,50,28,57,24,51,19
[2],,,,Shuppet,29,Screech,Night Shade,Curse,Spite,602,64,48,25,36,26,31
Beauty Jessica,2320,Route 121,,Kecleon,29,Bind,Lick,Fury Swipes,Faint Attack,820,73,51,49,39,74,28
,,,,Seviper,29,Poison Tail,Screech,Glare,Crunch,1025,81,63,39,63,35,46
Sr. and Jr. Kate & Joy [2],1024,Route 121,,Spinda,30,Hypnosis,Psybeam,Dizzy Punch,Teeter Dance,546,76,41,41,41,41,41
